title,artist,streams
Man's Not Hot,Big Shaq,"304,046,876"
Bored,Billie Eilish,"1,073,369,378"
do re mi,blackbear,"637,113,753"
That's What I Like,Bruno Mars,"2,362,354,179"
24K Magic,Bruno Mars,"1,553,036,389"
"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,"1,173,057,829"
Slide (feat. Frank Ocean & Migos),Calvin Harris,"1,117,645,402"
Havana (feat. Young Thug),Camila Cabello,"2,181,700,273"
Bodak Yellow,Cardi B,"923,329,828"
No Promises (feat. Demi Lovato),Cheat Codes,"691,003,421"
Redbone,Childish Gambino,"1,716,222,651"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,"1,620,444,480"
Sorry Not Sorry,Demi Lovato,"1,187,446,560"
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,"1,295,768,261"
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,"1,235,890,922"
Passionfruit,Drake,"1,740,130,853"
Fake Love,Drake,"987,879,414"
Perfect,Ed Sheeran,"3,206,594,519"
Shape of You,Ed Sheeran,"4,134,544,142"
Sit Next to Me,Foster The People,"383,347,372"
Unforgettable,French Montana,"2,321,290,768"
Mask Off,Future,"1,740,646,754"
Him & I (with Halsey),G-Eazy,"1,025,603,277"
No Limit,G-Eazy,"676,021,679"
Most Girls,Hailee Steinfeld,"629,684,175"
Now Or Never,Halsey,"480,222,278"
NUMB,Hayden James,"97,872,967"
Believer,Imagine Dragons,"3,246,012,023"
Thunder,Imagine Dragons,"2,575,494,217"
Whatever It Takes,Imagine Dragons,"1,383,179,260"
HUMBLE.,Kendrick Lamar,"2,418,872,562"
LOVE. FEAT. ZACARI.,Kendrick Lamar,"1,472,891,907"
DNA.,Kendrick Lamar,"1,248,275,671"
ELEMENT.,Kendrick Lamar,"470,568,191"
Young Dumb & Broke,Khalid,"1,642,036,504"
Location,Khalid,"1,436,357,992"
Tunnel Vision,Kodak Black,"689,636,437"
iSpy (feat. Lil Yachty),KYLE,"987,189,936"
Lust For Life (with The Weeknd),Lana Del Rey,"382,436,726"
Strip That Down (feat. Quavo),Liam Payne,"1,043,754,480"
Save That Shit,Lil Peep,"812,092,304"
Gucci Gang,Lil Pump,"654,671,449"
XO Tour Llif3,Lil Uzi Vert,"2,261,584,437"
Touch (feat. Kid Ink),Little Mix,"43,611,265"
1-800-273-8255,Logic,"1,372,950,198"
Liability,Lorde,"444,718,060"
Green Light,Lorde,"619,017,568"
"Homemade Dynamite (Feat. Khalid, Post Malone & SZA) - REMIX",Lorde,"311,522,235"
broken,lovelytheband,"343,942,032"
Despacito,Luis Fonsi,"1,839,991,263"
Bad Things (with Camila Cabello),mgk,"708,950,917"
Glorious (feat. Skylar Grey),Macklemore,"950,649,106"
Cold (feat. Future),Maroon 5,"743,828,600"
Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,"977,767,578"
Little Dark Age,MGMT,"703,809,114"
Bad and Boujee (feat. Lil Uzi Vert),Migos,"963,290,468"
Slippery (feat. Gucci Mane),Migos,"611,585,843"
T-Shirt,Migos,"487,570,757"
Sky Walker (feat. Travis Scott),Miguel,"623,325,859"
Malibu,Miley Cyrus,"839,053,299"
Nights With You,MØ,"157,231,827"
Slow Hands,Niall Horan,"993,364,754"
Magnolia,Playboi Carti,"905,063,224"
Chameleon,PNAU,"90,053,500"
Feel It Still,Portugal. The Man,"1,412,747,360"
Congratulations,Post Malone,"2,081,212,935"
I Fall Apart,Post Malone,"1,690,855,483"
Swang,Rae Sremmurd,"687,272,547"
Black Beatles,Rae Sremmurd,"1,015,058,826"
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,"892,953,678"
Losin Control,Russ,"730,860,667"
Too Good At Goodbyes,Sam Smith,"2,202,020,404"
No Lie,Sean Paul,"1,280,785,062"
Fetish (feat. Gucci Mane),Selena Gomez,"568,848,568"
Broccoli,DRAM,"870,377,485"
Don't Leave,Snakehips,"315,855,731"
Love Galore (feat. Travis Scott),SZA,"884,099,896"
Look What You Made Me Do,Taylor Swift,"1,246,777,907"
...Ready For It?,Taylor Swift,"827,343,492"
Something Just Like This,The Chainsmokers,"2,906,670,442"
Paris,The Chainsmokers,"1,236,714,503"
All Night,The Vamps,"683,400,106"
Middle Of The Night,The Vamps,"165,870,145"
I Feel It Coming,The Weeknd,"1,858,077,230"
goosebumps,Travis Scott,"2,644,183,871"
BUTTERFLY EFFECT,Travis Scott,"1,589,247,085"
Jocelyn Flores,XXXTENTACION,"2,293,883,990"
Rake It Up (feat. Nicki Minaj),Yo Gotti,"373,955,690"
I Would Like,Zara Larsson,"278,179,177"
Juju on That Beat (TZ Anthem),Zay Hilfigerrr,"248,724,725"
Stay,Zedd,"1,267,112,934"
Youngblood,5 Seconds of Summer,"1,887,815,221"
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,"800,675,890"
GUMMO,6ix9ine,"316,422,307"
God is a woman,Ariana Grande,"1,112,266,614"
no tears left to cry,Ariana Grande,"1,381,248,805"
Jumanji,B Young,"132,310,002"
Answerphone (feat. Yxng Bane),Banx & Ranx,"141,601,002"
Mine,Bazzi,"1,079,304,348"
Eastside (with Halsey & Khalid),benny blanco,"1,843,587,285"
