title,artist,top_genre,year_released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top_year,artist_type,pop_today,track_id,url,streams
boyfriend (with Social House),Ariana Grande,dance pop,2019,2020‑06‑22,190,80,40,-4,16,70,186,12,46,81,2019,Solo,76,0Ryd8975WihbObpp5cPW1t,https://open.spotify.com/track/0Ryd8975WihbObpp5cPW1t,877976080.00
"break up with your girlfriend, i'm bored",Ariana Grande,dance pop,2019,2020‑06‑22,170,55,73,-5,11,34,190,4,9,81,2019,Solo,73,4kV4N9D1iKVxx1KLvtTpjS,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,1016355182.00
broken,lovelytheband,indie poptimism,2018,2021‑06‑25,123,73,67,-6,4,51,205,0,4,76,2017,Band/Group,64,6XcfKZvJio9Z0fQy11GnNX,https://open.spotify.com/track/6XcfKZvJio9Z0fQy11GnNX,343942032.00
bury a friend,Billie Eilish,art pop,2019,2020‑06‑22,120,39,91,-15,11,20,193,74,33,80,2019,Solo,74,4SSnFejRGlZikf02HLewEF,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,1054334671.00
changes,XXXTENTACION,emo rap,2018,2020‑06‑22,65,31,67,-10,10,52,122,88,3,84,2018,Solo,74,7AFASza1mXqntmGtbxXprO,https://open.spotify.com/track/7AFASza1mXqntmGtbxXprO,1416316336.00
do re mi,blackbear,electropop,2017,2021‑01‑28,111,59,75,-6,12,17,212,1,5,77,2017,Solo,67,6Se3x9ANMLv0dCDsjGmEjh,https://open.spotify.com/track/6Se3x9ANMLv0dCDsjGmEjh,637113753.00
emotions,iann dior,melodic rap,2019,2021‑08‑17,81,63,63,-6,14,16,131,1,4,77,2019,Solo,66,4n3aUQnIxtVXpDwFvi66VD,https://open.spotify.com/track/4n3aUQnIxtVXpDwFvi66VD,389383549.00
goosebumps,Travis Scott,hip hop,2016,2021‑01‑28,130,73,84,-3,15,43,244,8,5,88,2017,Solo,85,6gBFPUFcJLzWGx4lenP6h2,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,2644183871.00
i'm so tired...,Lauv,dance pop,2020,2020‑06‑22,102,73,60,-7,24,53,163,18,20,81,2019,Solo,70,7LpMG3AEaIJgs62HQhAa91,https://open.spotify.com/track/7LpMG3AEaIJgs62HQhAa91,912395869.00
iSpy (feat. Lil Yachty),KYLE,pop,2016,2021‑01‑28,75,65,75,-7,23,67,253,38,29,76,2017,Solo,66,2EEeOnHehOozLq4aS0n6SL,https://open.spotify.com/track/2EEeOnHehOozLq4aS0n6SL,987189936.00
lovely (with Khalid),Billie Eilish,art pop,2018,2020‑06‑22,115,30,35,-10,10,12,200,93,3,91,2018,Solo,86,0u2P5u6lvoDfwTYjAADbn4,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,3101656732.00
m.A.A.d city,Kendrick Lamar,conscious hip hop,2012,2020‑06‑22,91,73,49,-7,44,22,350,5,27,73,2012,Solo,65,439TlnnznSiBbQbgXiBqAd,https://open.spotify.com/track/439TlnnznSiBbQbgXiBqAd,784786713.00
no tears left to cry,Ariana Grande,dance pop,2018,2020‑06‑22,122,71,70,-6,29,35,206,4,6,82,2018,Solo,74,2qT1uLXPVPzGgFOx4jtEuo,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,1381248805.00
oui,Jeremih,chicago rap,2015,2020‑06‑19,79,72,42,-4,11,60,238,21,10,82,2015,Solo,73,0PJIbOdMs3bd5AT8liULMQ,https://open.spotify.com/track/0PJIbOdMs3bd5AT8liULMQ,714296483.00
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,2020‑06‑22,160,52,59,-6,13,13,218,12,7,87,2018,Solo,80,0e7ipj03S05BNilyu5bRzt,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt,3079637232.00
"thank u, next",Ariana Grande,dance pop,2019,2020‑06‑22,107,65,72,-6,10,41,207,23,7,85,2019,Solo,78,3e9HZxeyfWwjeyPAMmWSSQ,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,1964330202.00
we fell in love in october,girl in red,bedroom pop,2018,2021‑03‑02,130,37,57,-13,16,24,184,11,3,88,2018,Solo,86,6IPwKM3fUUzlElbvKw2sKl,https://open.spotify.com/track/6IPwKM3fUUzlElbvKw2sKl,1233204521.00
when the party's over,Billie Eilish,art pop,2019,2020‑06‑22,83,11,37,-14,9,20,196,98,10,85,2019,Solo,84,43zdsphuZLzwA9k4DJhU0I,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,2014602999.00
